Tahun,KasusDBD,RR,RH_avg,ss
2015-01,9,16.72,81.42,3.63
2015-02,14,32.27,83.61,4.13
2015-03,14,9.27,78.37,5.24
2015-04,24,4.2,77.1,5.58
2015-05,18,2.78,72.48,7.09
2015-06,23,2.48,71.96,6.37
2015-07,10,0.13,70.04,7.38
2015-08,6,0,72.27,7.92
2015-09,5,1.07,68,8.33
2015-10,11,0,66.66,8.16
2015-11,9,6.94,72.9,6.52
2015-12,4,12.07,77.41,4.45
2016-01,26,5.47,79.24,5.24
2016-02,6,17.59,82.38,3.28
2016-03,12,11.28,80.45,5.63
2016-04,4,11.14,76.73,6.34
2016-05,10,2.95,77.58,5.04
2016-06,5,8.54,74.97,5.55
2016-07,10,4.91,76.39,6.45
2016-08,8,7.69,75.32,6.28
2016-09,2,8.85,75,7.03
2016-10,14,9.07,76.13,3.43
2016-11,10,5.83,75.5,3.98
2016-12,10,1.49,74.55,3.88
2017-01,15,13.66,77.23,4
2017-02,4,28.22,81.04,4.01
2017-03,10,7.76,77.42,5.53
2017-04,6,8.93,76.17,5.35
2017-05,12,3.79,73.66,4.47
2017-06,6,11.28,75.86,5.06
2017-07,6,3.91,72.13,4.69
2017-08,7,0.16,67.45,5.35
2017-09,2,6.78,70.57,7.64
2017-10,15,3.85,72.94,6.05
2017-11,7,8.03,75.33,4.41
2017-12,12,10.17,76.26,4.21
2018-01,15,8.51,76.1,3.39
2018-02,15,21.52,82.43,4.83
2018-03,22,12.06,79.48,5.51
2018-04,14,12.94,77.8,6.74
2018-05,19,2.39,73.82,7.32
2018-06,12,2.21,75.5,6.22
2018-07,6,0,69.96,7.11
2018-08,9,11.5,69.54,7.57
2018-09,2,4.95,69.53,7.68
2018-10,3,8.54,72,7.46
2018-11,4,12.76,76.21,5.18
2018-12,4,2.23,75.19,4.84
2019-01,16,13.7,80.42,4.1
2019-02,30,11.49,80.11,6.3
2019-03,39,12,79.1,4.82
2019-04,24,6.38,78.77,6.24
2019-05,48,2.12,74.32,6.58
2019-06,13,0.06,74.07,6.12
2019-07,8,0,71.06,7.74
2019-08,4,0,71.61,8.28
2019-09,1,0,71.03,7.91
2019-10,4,0.11,71.37,8.37
2019-11,0,5.23,72.57,7.68
2019-12,2,15.63,79.71,5.89
2020-01,9,23.35,83.29,4.18
2020-02,18,31.38,84.41,3.17
2020-03,32,9.6,81.23,5.15
2020-04,53,7.9,79.3,6.65
2020-05,18,2.92,78.1,6.11
2020-06,8,3.52,76.17,6.52
2020-07,5,5.88,74.74,6.99
2020-08,2,4.87,73.87,7.75
2020-09,1,0.55,72.12,7.51
2020-10,2,4.92,76,6.75
2020-11,2,4.98,78.8,5.99
2020-12,2,9.46,80,3.81
